               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.041444,            0.023027,           0.0076453,             0.95417,             0.95702,             0.94883,             0.51645,            0.046269,            0.015198,           0.0077042,            0.005842,            0.005842,            0.005842
                  65,            0.040364,            0.023796,           0.0075332,             0.95987,             0.95855,             0.95886,             0.53687,            0.044663,            0.015086,            0.007746,            0.005776,            0.005776,            0.005776
                  66,            0.040416,            0.022551,           0.0076846,             0.96297,             0.96162,             0.95872,             0.55598,            0.044401,            0.015172,           0.0077775,             0.00571,             0.00571,             0.00571
                  67,            0.040548,            0.022959,           0.0077042,             0.95914,             0.95566,             0.95609,             0.53372,            0.045669,            0.015684,           0.0079218,            0.005644,            0.005644,            0.005644
                  68,            0.040806,            0.022515,           0.0075474,             0.95867,             0.96233,             0.95791,             0.54131,            0.045138,            0.015266,           0.0076902,            0.005578,            0.005578,            0.005578
                  69,            0.040512,            0.022875,           0.0074799,             0.96791,             0.96002,             0.96216,             0.55624,             0.04506,            0.015387,           0.0076912,            0.005512,            0.005512,            0.005512
                  70,            0.040154,            0.023053,           0.0079108,              0.9715,             0.96402,             0.97401,              0.5639,            0.043878,            0.015257,           0.0077292,            0.005446,            0.005446,            0.005446
                  71,             0.04005,            0.023012,           0.0076294,              0.9655,             0.96861,              0.9667,             0.56952,            0.043301,            0.015234,           0.0075625,             0.00538,             0.00538,             0.00538
                  72,            0.039422,            0.022061,           0.0071839,             0.96469,             0.96126,             0.96313,             0.56141,            0.043806,            0.015198,           0.0075358,            0.005314,            0.005314,            0.005314
                  73,            0.039898,            0.023114,           0.0075924,             0.97805,             0.96806,             0.97271,             0.58041,             0.04329,            0.015054,            0.007682,            0.005248,            0.005248,            0.005248
                  74,            0.038913,             0.02251,           0.0074134,              0.9628,             0.95654,             0.95597,             0.55138,            0.045043,            0.014977,           0.0076103,            0.005182,            0.005182,            0.005182
                  75,            0.039916,            0.022293,           0.0073169,              0.9645,             0.96922,             0.96467,              0.5444,            0.044747,            0.015091,           0.0076772,            0.005116,            0.005116,            0.005116
                  76,            0.040942,            0.024398,           0.0074641,             0.96487,             0.96839,             0.96644,             0.56193,            0.043778,            0.015211,           0.0078686,             0.00505,             0.00505,             0.00505
                  77,            0.039747,            0.021786,           0.0073655,              0.9633,             0.97295,             0.97103,             0.57428,            0.043348,            0.014981,           0.0076481,            0.004984,            0.004984,            0.004984
                  78,            0.039743,            0.023649,           0.0072357,             0.96567,             0.97121,             0.96794,             0.57207,            0.043523,            0.014976,           0.0075961,            0.004918,            0.004918,            0.004918
                  79,            0.038618,            0.023272,           0.0073711,             0.96332,             0.97108,             0.96676,             0.57298,            0.043549,            0.015284,           0.0076872,            0.004852,            0.004852,            0.004852
                  80,            0.038221,            0.022066,            0.007267,             0.96582,             0.97065,             0.96866,             0.57046,            0.043501,            0.015257,           0.0077692,            0.004786,            0.004786,            0.004786
                  81,            0.039954,            0.024724,           0.0073996,             0.97261,             0.97045,             0.97003,             0.56369,            0.043207,            0.015166,           0.0073698,             0.00472,             0.00472,             0.00472
                  82,            0.038829,            0.023613,           0.0074856,             0.96731,             0.96304,             0.96538,             0.56695,            0.043338,             0.01511,           0.0074816,            0.004654,            0.004654,            0.004654
                  83,            0.039421,            0.021765,           0.0071905,             0.96578,               0.957,             0.95873,             0.56825,            0.043421,            0.015253,            0.007507,            0.004588,            0.004588,            0.004588
                  84,            0.039958,            0.022308,           0.0071381,             0.96754,             0.96294,             0.96544,             0.54742,            0.044035,            0.015281,           0.0076492,            0.004522,            0.004522,            0.004522
                  85,            0.039202,            0.022133,           0.0073321,             0.96949,             0.96794,             0.96876,             0.55418,            0.043445,            0.015175,           0.0076114,            0.004456,            0.004456,            0.004456
                  86,             0.03879,            0.022095,           0.0070504,             0.96531,             0.96376,             0.96329,             0.55528,            0.044553,            0.015167,           0.0076395,             0.00439,             0.00439,             0.00439
                  87,              0.0386,            0.021561,           0.0070778,             0.97406,             0.96931,             0.97101,             0.56529,            0.043249,            0.015089,           0.0075212,            0.004324,            0.004324,            0.004324
                  88,            0.039414,            0.021849,           0.0071412,             0.97353,             0.97319,             0.97347,              0.5568,            0.043863,            0.015167,           0.0075034,            0.004258,            0.004258,            0.004258
                  89,            0.037791,            0.021183,           0.0068703,             0.96606,             0.97027,             0.96347,             0.56475,            0.043886,            0.015285,           0.0077024,            0.004192,            0.004192,            0.004192
                  90,            0.039046,            0.022258,           0.0071212,             0.96164,              0.9695,             0.96092,              0.5536,            0.044579,             0.01539,           0.0077582,            0.004126,            0.004126,            0.004126
                  91,            0.037616,            0.022516,           0.0071338,             0.96865,             0.97391,             0.96463,             0.57454,             0.04317,            0.015068,           0.0075208,             0.00406,             0.00406,             0.00406
                  92,            0.036907,             0.02303,           0.0069597,             0.97185,             0.97245,             0.96746,             0.56924,            0.043403,            0.015181,           0.0076138,            0.003994,            0.003994,            0.003994
                  93,            0.037029,            0.022037,           0.0070413,             0.96762,             0.96613,             0.96187,             0.56534,            0.043785,            0.015316,           0.0076442,            0.003928,            0.003928,            0.003928
                  94,             0.03794,            0.021757,           0.0069534,             0.96614,             0.96789,             0.96314,              0.5613,             0.04415,            0.015054,           0.0074645,            0.003862,            0.003862,            0.003862
                  95,            0.037834,            0.022677,           0.0071478,             0.97364,             0.97592,              0.9752,             0.57759,            0.042825,            0.014915,           0.0075353,            0.003796,            0.003796,            0.003796
                  96,            0.036936,            0.021614,           0.0069092,              0.9789,             0.97266,             0.97627,             0.57857,            0.042775,            0.014987,           0.0074782,             0.00373,             0.00373,             0.00373
                  97,            0.037034,            0.022199,           0.0069704,             0.97311,             0.96109,             0.96988,             0.57117,            0.043235,            0.015287,           0.0075918,            0.003664,            0.003664,            0.003664
                  98,            0.037261,            0.022345,           0.0071188,             0.97051,             0.96146,             0.96963,              0.5757,            0.043073,            0.015156,           0.0074979,            0.003598,            0.003598,            0.003598
                  99,            0.036452,            0.021986,           0.0067067,             0.96434,             0.96742,             0.96734,             0.57227,            0.043506,            0.015204,           0.0075445,            0.003532,            0.003532,            0.003532
